original,traducido
Medium Armor Mastery,Maestria em Armadura Media
Heavy Armor Mastery,Maestria em Armadura Pesada
Calloused Hands,Maos Calosas
Brutality,Brutalidade
Bloodthirsty,Sanguinario
Club Initiate,Iniciado em Tacape
Club Expert,Especialista em Tacape
Club Master,Mestre em Tacape
Leadership Initiate,Iniciado em Lideranca
Leadership Expert,Especialista em Lideranca
Leadership Master,Mestre em Lideranca
Leadership Grand-Master,Grao-Mestre em Lideranca
Ranger Initiate,Iniciado em Patrulheiro
Ranger Expert,Especialista em Patrulheiro
Ranger Master,Mestre em Patrulheiro
Shield Initiate,Iniciado em Escudo
Shield Expert,Especialista em Escudo
Shield Master,Mestre em Escudo
Sword Initiate,Iniciado em Espada
Sword Expert,Especialista em Espada
Sword Master,Mestre em Espada
Two-Handed Initiate,Iniciado em duas maos
Two-Handed Expert,Especialista em duas maos
Two-Handed Master,Mestre em duas maos
