original,translation
"To his credit, he’s managed to keep the lighthouse running throughout the calamities that are befalling this island","Para o seu credito, ele conseguiu manter o farol funcionando ao longo das calamidades que estao assolando esta ilha"
No doubt this is critical to the survival of those still caught out at sea,Sem duvida isso e crucial para a sobrevivencia daqueles que ainda estao presos no mar
The second keeper,O segundo guardiao
The lighthouse in Idra seems to have had a second keeper,O farol em Idra parece ter tido un segundo guardiao
A man named Caspar who seemingly went mad dreaming about caves underneath the lighthouse,Um homem chamado Caspar que aparentemente enlouqueceu sonhando com cavernas debaixo do farol
His writing mentions a “blade” calling him there,Seus escritos mencionam uma lamina chamando por ele la
Monoliths,Monolitos
There are strange monoliths on Idra,Existem monolitos estranhos em Idra
"Though they appear to be ancient, it seems someone is still performing rituals at them","Embora parecam ser antigos, parece que alguem ainda realiza rituais neles"
Surviving Sailors,Marineros Sobreviventes
I came across a group of survivors from the Zephyr,Deparei-me com um grupo de sobreviventes do Zefiro
"They were hold up in some abandoned fishing huts and their leader, Snow, asked that I send any other survivors from the Zephyr to their camp","Eles estavam alojados em algumas cabanas de pesca abandonadas e o lider deles, Snow, pediu que eu enviasse quaisquer outros sobreviventes do Zefiro para o acampamento deles"
The Telescope,O Telescopio
"Though I cannot really put into words what I saw, I used the astronomer’s telescope and I saw terrible things","Embora eu nao consiga expressar em palavras o que vi, usei o telescopio do astronomo e vi coisas terriveis"
I am beset by a deep certainty that something is gravely wrong on this island,Estou tomado por uma profunda certeza de que algo esta gravemente errado nesta ilha
The Weathermaiden's Plight,O Dilema do Weathermaiden
A crewman from the ship “Weathermaiden” has asked that I seek out the first mate Zhara,Um tripulante do navio Weathermaiden me pediu para procurar a imediata Zhara
They are holed up in a large sea-cave at position 66 by 91 on the Outer Isles map,Eles estao escondidos em uma grande caverna marinha na posicao 66 por 91 no mapa das Ilhas Exteriores
That should make it north-west of the refugee-camp,Isso deve ficar a noroeste do acampamento de refugiados
An Abandoned Farm,Uma Fazenda Abandonada
I came across a small abandoned farm near the beach where I came ashore on Idra,Deparei-me com uma pequena fazenda abandonada perto da praia onde desembarquei em Idra
It’s pretty derelict but it might serve well enough as a makeshift camp,Esta bem abandonada mas pode servir como um acampamento improvisado
Markus the Chamberlain,Markus o Camareiro
"I met and spoke with the de-facto leader of the refugee camp north of Horryn","Reuni-me e conversei com o lider de facto do acampamento de refugiados ao norte de Horryn"
"Apparently the town has been overrun by crazed cultists","Ao que parece, a cidade foi invadida por cultistas enlouquecidos"
"Worse, the city-gates are apparently sealed making it impossible to get back in","Pior ainda, os portoes da cidade estao aparentemente selados, tornando impossivel entrar de volta"
"For now my energy might be well spent trying to ease the plight of the refugees","Por enquanto, minha energia pode ser bem gasta tentando aliviar a situacao dos refugiados"
Smuggler's Cache,Esconderijo de Contrabandista
"I found an abandoned smuggler's cache in one of the Caves on Idra","Encontrei um esconderijo de contrabandista abandonado em uma das Cavernas em Idra"
"Perhaps there are more like it to be found on the Outer Isles?","Talvez haja mais como este para encontrar nas Ilhas Exteriores?"
The Wreck Picker,O Coletor de Destrocos
"I met a strange old wreck picker by the name of Basilo","Conheci um velho e estranho coletor de destrocos chamado Basilo"
"Though I should be careful in trusting him, he has offered to buy any scrap I find on the beach","Embora eu deva ter cuidado ao confiar nele, ele se ofereceu para comprar qualquer sucata que eu encontre na praia"
"I can find him in an old farm house north of where I landed on Idra","Posso encontra-lo em uma antiga casa de fazenda ao norte de onde desembarquei em Idra"
The Zephyr,O Zefiro
"Apparently the wreck of the Zephyr has shifted enough in the tides that it is now possible to enter it","Ao que parece, os destrocos do Zefiro se moveram o suficiente com as mares para que agora seja possivel entrar nele"
#Chapter 2,#Capitulo 2
Oleg's Plan,O Plano de Oleg
"I told Oleg that the Butcher has gotten hold of his unholy tablets","Disse a Oleg que o Acougueiro conseguiu tomar suas tabuas impias"
"The news caused the old chieftain to decide to attempt to end the Butcher","A noticia fez com que o velho cacique decidisse tentar acabar com o Acougueiro"
"I suspect that Oleg doesn’t stand a chance against him alone so perhaps I should ask the third chieftain, Kala, to side with Oleg?","Suspeito que Oleg nao tem chance nenhuma contra ele sozinho, entao talvez eu deva pedir a terceira cacique, Kala, para se aliar a Oleg?"
"Together they might be able to take down the Butcher","Juntos eles talvez consigam derrubar o Acougueiro"
Oleg the Gray is Dead,Oleg o Cinzento esta Morto
The Reaver chief Oleg the Gray is dead,O chefe Reaver Oleg o Cinzento esta morto
Oleg's Right to Rule,O Direito de Oleg de Governar
"I met one of the three Reaver chieftains","Conheci um dos tres caciques Reaver"
Oleg,Oleg
"He’s the oldest of the three and claims to hold ‘sacred’ tablets that gives him the right to rule over his siblings","Ele e o mais velho dos tres e afirma possuir tabuas sagradas que lhe dao o direito de governar sobre seus irmaos"
"He’s asked me to seek them out and remind them of that fact","Ele me pediu para procura-los e lembra-los desse fato"
Queen Kala is Dead,A Rainha Kala esta Morta
The Reaver chief 'queen' Kala is dead,A chefe Reaver rainha Kala esta morta
The Butcher is Dead,O Acougueiro esta Morto
The Reaver chief known as 'the Butcher' is dead,O chefe Reaver conhecido como o Acougueiro esta morto
The Reaver Tablets,As Tabuas Reaver
I gave the Reaver Tablets to the Butcher,Entreguei as Tabuas Reaver ao Acougueiro
"He now intends to make an offering of Oleg as part of his ascent to Father's side","Ele agora pretende fazer uma oferenda de Oleg como parte de sua ascensao ao lado do Pai"
"He's asked me to go tell Kala he wants her at his side for the final slaughter","Ele me pediu para ir dizer a Kala que a quer ao seu lado para o massacre final"
The Butcher's Designs,Os Planos do Acougueiro
"I met the Reaver chieftain that calls himself “The Butcher","Conheci o cacique Reaver que se autodenomina o Acougueiro"
"He’s determined to win the favor of the one the Reavers call Father by subjugating his siblings","Ele esta determinado a ganhar o favor daquele que os Reavers chamam de Pai, subjugando seus irmaos"
Oleg and Kala,Oleg e Kala
"For starters he’s asked me to steal a pair of unholy tablets that are currently in the possession of Oleg","Para comecar, ele me pediu para roubar um par de tabuas impias que estao atualmente em posse de Oleg"
"They are being kept in tunnels under Oleg's lodge in the east end of town","Elas estao guardadas em tuneis sob a cabana de Oleg na extremidade leste da cidade"
"There is apparently a secret entrance to them if I “don’t mind wading through shit","Ha aparentemente uma entrada secreta para eles se eu nao me importar em caminhar na merda"
The Waif,A Orfa
"I met a young girl in the ruins of Horryn and managed to win her trust with some food","Conheci uma jovem nas ruinas de Horryn e consegui ganhar sua confianca com um pouco de comida"
"She has proven quite resourceful and has successfully managed to evade the Reavers","Ela se mostrou bastante engenhosa e conseguiu evitar os Reavers com sucesso"
"It turns out she had quite a bit of information about them","Acontece que ela tinha uma boa quantidade de informacoes sobre eles"
"She’s currently hiding in an alley west of the plaza","Ela esta atualmente se escondendo em um beco a oeste da praca"
A Strange Growth,Um Crescimento Estranho
"I came across a strange fungus growing on some of the fresh corpses in the crypt under the Horryn temple","Deparei-me com um fungo estranho crescendo em alguns dos corpos recentes na cripta sob o templo de Horryn"
"It’s difficult to say what it is but is seems to be out of place there","E dificil dizer o que e, mas parece estar fora de lugar ali"
Joran the Usurper,Joran o Usurpador
"A strange and ancient creature clings to undeath in the bowels of the catacombs under Horryn","Uma criatura estranha e antiga se apega a vida apos a morte nas entranhas das catacumbas sob Horryn"
"The hateful creature will not rest until I bring it the sword of “Joran the Usurper","A criatura cheia de odio nao descansara ate que eu lhe traga a espada de Joran o Usurpador"
"I wonder if this usurper could be buried in one of the other tombs in this catacomb","Pergunto-me se este usurpador poderia estar enterrado em um dos outros tumulos nesta catacumba"
Main Gate Opened,Portao Principal Aberto
The main gate of Horryn is now opened!,O portao principal de Horryn esta agora aberto!
Sea-Gate Open,Portao do Mar Aberto
The Horryn sea-gate is now opened!,O portao do mar de Horryn esta agora aberto!
The Art Dealer,O Mercador de Arte
"An art-dealer down in the Underhalls beneath Horryn is looking to buy strange and unusual artifacts if I find any","Um mercador de arte nos Saloes Subterraneos abaixo de Horryn esta procurando comprar artefatos estranhos e incomuns se eu encontrar algum"
Reaver Cellar,Porao dos Reavers
"A pair of Reavers appeared to be guarding something in the cellar under Olge’s lodge","Um par de Reavers parecia estar guardando algo no porao sob a cabana de Oleg"
#Chapter 3,#Capitulo 3
To Find a Ship,Para Encontrar um Navio
We must find a ship willing to take us to Gradla,Devemos encontrar um navio disposto a nos levar para Gradla
"Markus the chamberlain suggests I seek out the smugglers that are rumored to be holed up in a cave north-west of Horryn","Markus o camareiro sugere que eu procure os contrabandistas que dizem estarem escondidos em uma caverna a noroeste de Horryn"
"That would place it somewhere near the location 66 by 91 on the Outer Isles map","Isso o colocaria em algum lugar perto da posicao 66 por 91 no mapa das Ilhas Exteriores"
"We must find a ship willing to take us to Gradla and I think the ship and crew hiding in the sea-caves north-west of town is likely my best bet","Devemos encontrar um navio disposto a nos levar para Gradla e acho que o navio e a tripulacao escondidos nas cavernas marinhas a noroeste da cidade sao provavelmente a minha melhor aposta"
"The cave is located at position 66 by 91 on the Outer Isles map","A caverna esta localizada na posicao 66 por 91 no mapa das Ilhas Exteriores"
Horryn is Saved,Horryn esta Salva
"I managed to storm the keep in Horryn and stamp out the last remnants of the Reavers","Consegui invadir a fortaleza em Horryn e eliminar os ultimos restos dos Reavers"
"Though hundreds are dead and the city in ruins, Horryn appears to be safe for now","Embora centenas estejam mortos e a cidade em ruinas, Horryn parece estar segura por enquanto"
Iago Rejoins his Crew,Iago Reencontra sua Tripulacao
"Iago has gone ahead to rejoin his crew and begin preparations for us to sail for Gradla","Iago foi em frente para reencontrar sua tripulacao e comecar os preparativos para zarparmos em direcao a Gradla"
"He awaits us up in a large sea-cave at position 66 by 91 on the Outer Isles map","Ele nos espera em uma grande caverna marinha na posicao 66 por 91 no mapa das Ilhas Exteriores"
"That should make it north-west of Horryn","Isso deve ficar a noroeste de Horryn"
#Chapter 4,#Capitulo 4
Colony Collapse,Colapso da Colonia
"I found several dead or dying bee-hives in Firgol","Encontrei varias colmeias mortas ou moribundas em Firgol"
"It seems the bees there are fighting amongst each other","Parece que as abelhas de la estao lutando entre si"
Firgol Bees,Abelhas de Firgol
"Despite assurances that ‘Firgol bees do not sting’, I found the bees in one of the hives to be quite aggressive","Apesar das garantias de que as abelhas de Firgol nao picam, achei as abelhas de uma das colmeias bastante agressivas"
"I may need to find some way of pacifying them if I am going to get at the honey","Talvez eu precise encontrar alguma maneira de pacifica-las se quiser chegar ao mel"
Trapped Mine Tunnel,Tunnel de Mina com Armadilha
"I’ve rigged one of the tunnels in the mine at Adler’s Helm to collapse","Preparei um dos tuneis na mina em Elmo de Adler para desabar"
"The trap can be triggered by using a rope to pull away the remaining support-beam and I’m certain it could be done rapidly if need be","A armadilha pode ser acionada usando uma corda para puxar a viga de suporte restante e tenho certeza de que isso poderia ser feito rapidamente se necessario"
The False Tomb,O Tumulo Falso
"I found and opened the sarcophagus in the Priory catacombs central tomb-chamber","Encontrei e abri o sarcofago na camara mortuaria central das catacumbas do Priorado"
"Surprisingly, it turns out to be empty!","Surpreendentemente, ele esta vazio!"
A decoy perhaps?,Um chamariz talvez?
The Gong,O Gongo
"I performed a ritual using the gong outside the tomb chamber","Realizei um ritual usando o gongo do lado de fora da camara mortuaria"
"I have a strong feeling it was correctly performed though I cannot tell exactly to what purpose","Tenho a forte impressao de que foi realizado corretamente, embora nao saiba dizer exatamente com qual proposito"
"Perhaps some kind of trap was deactivated?","Talvez algum tipo de armadilha tenha sido desativada?"
Tunnels in the Dark,Tuneis na Escuridao
"I found a secret exit in the tomb-chamber that leads to tunnels engulfed by magical darkness","Encontrei uma saida secreta na camara mortuaria que leva a tuneis envoltos por uma escuridao magica"
"I feel certain the way forwards lie through these tunnels though I must take care not to get lost in the dark as I attempt to navigate them","Tenho certeza de que o caminho a seguir passa por esses tuneis, embora deva tomar cuidado para nao me perder na escuridao enquanto tento navega-los"
The First Sarcophagus,O Primeiro Sarcofago
"I found a sarcophagus under the Priory with the following description","Encontrei um sarcofago sob o Priorato con a seguinte descricao"
Carroleth of the Crystal Eye - First Grandmaster of the Order of the Crystal Eye,Carroleth do Olho de Cristal - Primeiro Gra-Mestre da Ordem do Olho de Cristal
The Second Sarcophagus,O Segundo Sarcofago
Rothrax the Gray - Second Grandmaster of the Order of the Crystal Eye,Rothrax o Cinzento - Segundo Gra-Mestre da Ordem do Olho de Cristal
The Third Sarcophagus,O Terceiro Sarcofago
Kalamar the Wise - Third Grandmaster of the Order of the Crystal Eye,Kalamar o Sabio - Terceiro Gra-Mestre da Ordem do Olho de Cristal
The Ascension Chamber,A Camara de Ascensao
"I found the chamber where Calipero’s apprentices go to “ascend” as a reward for their service","Encontrei a camara para onde os aprendizes de Calipero vao para ascender como recompensa por seus servicos"
"Grotesquely, the chamber appears to be nothing more than a crematorium","Grotescamente, a camara parece nao passar de um crematorio"
Kill the Queen,Matar a Rainha
"I found a strange queen in one of the hives","Encontrei uma rainha estranha em uma das colmeias"
"I suspect it’s the cause of the collapse of the other colonies and so I quickly dispatched it","Suspeito que ela seja a causa do colapso das outras colonias e por isso a eliminei rapidamente"
Pilgrim's Shrines,Santuarios de Peregrinos
"I found an old pilgrim’s shrine","Encontrei um antigo santuario de peregrinos"
"If I could somehow learn the proper prayers and rituals I could probably complete the pilgrimage myself if I wanted","Se eu pudesse de alguma forma aprender as oracoes e rituais adequados, provavelmente poderia completar a peregrinacao eu mesmo se quisesse"
The Maiden Sets Sail,O Maiden Zarpa
"We’ve taken to the high seas on the Weathermaiden","Fomos para o alto-mar no Weathermaiden"
"We must, however, stay close to shore lest we invoke the wrath of the behemoth that stalks the deeper seas of the Outer Isles","Devemos, no entanto, permanecer perto da costa para nao invocar a ira do behemoth que espreita os mares mais profundos das Ilhas Exteriores"
#Chapter 5,#Capitulo 5
A Language of Pure Logic,Uma Linguagem de Pura Logica
"I managed to somehow become attuned to the language of the great machine inside the ancient structure","Consegui sintonizar de alguma forma com a linguagem da grande maquina dentro da antiga estrutura"
