original,original
Pray the world has not grown too cruel in your absence,Reze para que o mundo nao tenha se tornado cruel demais na sua ausencia
Noble,Noble
"An individual of old blood, you learned long ago that wealth and connections tend to open doors that are otherwise closed to the filthy masses","Um individuo de sangue antigo, voce aprendeu ha muito tempo que a riqueza e as conexoes tendem a abrir portas que, de outra forma, estao fechadas para as massas imundas"
Sailor,Marinheiro
You’ve heard the call of the Mother of Maelstroms and salt water now runs in your veins,Voce ouviu o chamado da Mae dos Maelstroms e agua salgada agora corre em suas veias
"Whether on the deck of a Guilder caravel or manning the sails of a meager fishing sloop, you feel most at home when you’re at sea","Seja no conves de uma caravela da guilda ou comandando as velas de um pequeno barco de pesca, voce se sente mais em casa quando esta no mar"
Street Rat,Rato de Rua
Spending your formative years fending for yourself on the hard streets of the Empire’s sprawling cities has left you with a preternatural instinct for surviving,Passar seus anos de formacao se virando sozinho nas ruas duras das cidades em expansao do Imperio deixou voce com um instinto sobrenatural de sobrevivencia
No crime is too petty - no meat too mysterious,Nenhum crime e pequeno demais - nenhuma carne e misteriosa demais
Vagabond,Vagabundo
"Having spent most of your teenage years’ on the road, you are a free spirit with no allegiance to any one person or place","Tendo passado a maior parte da sua adolescencia na estrada, voce e um espirito livre sem lealdade a nenhuma pessoa ou lugar"
"Drifting from place to place, you go where there is work, food and a warm bed to be had","Vagando de lugar em lugar, voce vai onde houver trabalho, comida e uma cama quente para conseguir"
Wildling,Selvagem
"As the light of civilization fades, the vast wildernesses of the Empire encroach on the civilized folk","A medida que a luz da civilizacao desaparece, as vastas terras selvagens do Imperio invadem o povo civilizado"
Thankfully you don’t count yourself among those,Felizmente voce nao se inclui entre eles
The sky is your temple and the howling of wolves your litany,O ceu e o seu templo e o uivo dos lobos e a sua litania
Nomad,Nomade
"You’ve spent years across the seas, living with the desert nomads","Voce passou anos do outro lado dos mares, vivendo com os nomades do deserto"
"Though ever the outsider, the nomads deemed you trust-worthy enough to become an initiate in the mysteries of their pagan fire-worship","Embora sempre um estrangeiro, os nomades consideraram voce confiavel o suficiente para se tornar um iniciado nos misterios da sua adoracao paga ao fogo"
Snake-Cultist,Cultista da Serpente
Writhing with serpents in darkened cellars and hidden temples has left you immune to the snake’s kiss,Contorcer-se com serpentes em poroes escuros e templos ocultos deixou voce imune ao beijo da cobra
#NPC Backgrounds,#Antecedentes de NPCs
Citizen,Cidadao
Craftsman,Artesao
Farmer,Fazendeiro
Fisherman,Pescador
Guild Sailor,Marinheiro da Guilda
Insane,Louco
Official,Oficial
Refugee,Refugiado
Servant,Servo
Vagrant,Vagabundo
Shipwrecked,Naufrago
