Original,translation
"Bloody Magi, making a mess of the world and leaving it to us lot to clean it up!","Magos malditos, fazendo bagunca no mundo e deixando para nos a limpeza!"
Not on my farm!,Na minha fazenda nao!
They can shove their bloody seed-potatoes up their sacred arses for all I bleeding care!,Eles que enfiem suas malditas batatas de semente nos seus cus sagrados por tudo que me importa!
Origins of the Sorroweater,Origens do Devorador de Tristeza
Sorrow-Eater,Devorador de Tristeza
"In the year of 641 GA, after the lay-Countess of Vaul lost her firstborn to dry lung, it is rumored that she locked herself up in her chambers to wallow in her grief","No ano de 641 GA, apos a Condessa leiga de Vaul perder o primogenito por pulmao seco, dizem que ela se trancou em seus aposentos para afogar-se em luto"
"One of the lay-Countess's most important offices was as head of the High Forum, and thus, fearing her absence would cause much unrest amongst nobility, the countess’ majordomo sought help from a wise old crone","Um dos cargos mais importantes da Condessa leiga era a chefia do Alto Forum e, temendo que sua ausencia causasse agitacao na nobreza, o mordomo buscou ajuda com uma bruxa velha e sabia"
"After hearing her plea, the crone handed the countess’ majordomo a single, violet coloured flower","Apos ouvir o apelo, a velha entregou ao mordomo da condessa uma unica flor de cor violeta"
"Place this beside her bed, and to it all her sorrow shall be fed","Coloque isso ao lado da cama dela, e toda a tristeza dela sera alimentada por isso"
"Desperate, the countess’ majordomo did as the crone advised, and less than a tide later, the lay-Countess of Vaul left her chambers for the first time since the loss of her child","Desesperado, o mordomo fez o que a velha aconselhou, e menos de uma mare depois, a Condessa leiga de Vaul deixou os aposentos pela primeira vez desde a perda do filho"
"The tale was quickly passed between courtiers, and ever since, the fauna - aptly named ‘Sorroweater’ - has been given as a gift in times of great sorrow","A historia se espalhou rapido entre os cortesao e, desde entao, a planta, chamada Devorador de Tristeza, e dada como presente em tempos de grande luto"
The High Forum of 641 was indeed a great success,O Alto Forum de 641 foi de fato um grande sucesso
"As so often when the lay-nobility conveens, much was discussed, little was decided and nothing was accomplished save gluttony, fornication and a stabbing or two","Como sempre que a nobreza leiga se reune, muito se discutiu, pouco se decidiu e nada se realizou exceto gula, fornicao e uma ou duas facadas"
Origins of the Starspawn,Origens da Cria Estelar
Starspawn,Cria Estelar
"Despite its beautiful appearance, the legend on the origin of the Starflower is a grim one","Apesar da aparencia bela, a lenda sobre a origem da Flor Estelar e sombria"
"Many centuries ago, before Gallina came from the south, a fatally wounded warrior lay dying","Muitos seculos atras, antes de Gallina vir do sul, um guerreiro mortalmente ferido estava morrendo"
He pleaded to the Gods for help just as a shooting star passed through the sky,Ele pediu ajuda aos Deuses bem quando uma estrela cadente passou pelo ceu
"Hearing his cries and taking pity on the young man, the star descended to earth to answer his prayers","Ouvindo seus gritos e com pena do jovem, a estrela desceu a terra para responder as preces"
For such was her nature,Pois tal era a natureza dela
"At first the soldier was grateful, but he became smitten by her beauty and soon grew lustful","No inicio o soldado ficou grato, mas ficou encantado pela beleza dela e logo ficou cobiçoso"
Then possessive and finally cruel towards the stellar being,Depois possessivo e finalmente cruel com o ser estelar
For such was his nature,Pois tal era a natureza dele
"She refused him, claiming that stars belong to all who love them and the soldier went mad with rage","Ela o recusou, alegando que as estrelas pertencem a todos que as amam e o soldado enlouqueceu de raiva"
"He strangled her then and there for if he could not have her, no one would","Ele a estrangulou ali mesmo pois se ele nao pudesse te-la, ninguem mais teria"
"As the star’s last breath left her, her Sisters began to weep","Quando o ultimo suspiro da estrela a deixou, suas Irmas comecaram a chorar"
"In a shower of burning light, their tears fell to the earth where the star lay, immolating the man who had killed her","Numa chuva de luz ardente, suas lagrimas cairam na terra onde a estrela estava, imolando o homem que a matou"
"When dawn finally broke and the stars withdrew, all that was left in their wake was a field of star-shaped flowers","Quando o amanhecer finalmente chegou e as estrelas sumiram, tudo o que restou foi um campo de flores em forma de estrela"
Origins of the Sunmouth,Origens da Boca do Sol
Sunmouth,Boca do Sol
This bright fauna was first discovered in the province of Gorremia following one of the worst winters in the region’s history,Esta planta brilhante foi descoberta na provincia de Gorremia apos um dos piores invernos da historia da regiao
"It is reported that after months of unrelenting snow and ice, the land in this region had become so barren the locals worried new life would never grow from it again","Relatos dizem que apos meses de neve e gelo implacaveis, a terra ficou tao esteril que os locais temiam que a vida nunca mais brotasse la"
"Fearing the worst, a handful of villagers decided to seek out new homes, and set out with heavy hearts to begin the long journey to the temperate Heartlands","Temendo o pior, alguns aldeoes decidiram buscar novos lares, partindo com o coracao pesado na longa jornada para as Terras Centrais temperadas"
"It was at this moment, as the villagers braced themselves to leave their lives behind, that a single ray of sunlight broke through the clouds to light the barren area before them","Foi nesse momento, quando os aldeoes se preparavam para deixar suas vidas para tras, que um unico raio de sol rasgou as nuvens para iluminar a area esteril"
"Breaths held, the villagers watched as that sliver of sunlight thawed the icy ground, unveiling the beginnings of a single, yellow bud","Prendendo a respiracao, os aldeoes viram aquele feixe de sol descongelar o solo, revelando o inicio de um unico broto amarelo"
"A bud that, to this day, has only ever been found to grow in areas of direct sunlight","Um broto que, ate hoje, so foi encontrado crescendo em areas de luz solar direta"
Monk's Journal,Diario do Monge
We’re working long hours into the night to deal with the recent influx of corpses,Estamos trabalhando ate tarde da noite para lidar com o recente fluxo de cadaveres
What compels these people to act so cruelly?,O que obriga essas pessoas a agir com tanta crueldade?
Yesterday we had the corpse of a young boy of no more than 12 years come in,Ontem recebemos o cadaver de um jovem garoto de nao mais de 12 anos
He had been beaten to death by the looks of it,Pelo que parece, ele foi espancado ate a morte
"Sacred dead preserve me - were it not for the calling, I’m not sure I would have persevered","Mortos sagrados me preservem - se nao fosse pelo chamado, nao sei se teria perseverado"
A glimmer of light,Um vislumbre de luz
"Brother Aruun came running up from the crypt, so frightened he had pissed his robes","O Irmao Aruun veio correndo da cripta, tao assustado que urinou em suas roupas"
He claimed he saw something move down in the crypt,Ele afirmou ter visto algo se mover la embaixo na cripta
Something “unnatural,Algo antinatural
"We laughed till we fell over and by the end, so did he","Rimos ate cair no chao e no fim, ele tambem riu"
No doubt he saw one of the rats but it’s funny where the mind wanders when sleep becomes scarce,Sem duvida ele viu um dos ratos mas e engracado para onde a mente viaja quando o sono e escasso
Something is wrong in the village!,Algo esta errado no vilarejo!
They say some kind of riot has broken out,Dizem que algum tipo de motim estourou
Hierophant Leios said Driina has gone to investigate and that we monks should stay in the crypt for our own safety,O Hierofante Leios disse que Driina foi investigar e que nos monges devemos ficar na cripta para nossa seguranca
We try to pass the time with work but I wish we knew what was happening,Tentamos passar o tempo com o trabalho mas quem dera soubessemos o que esta acontecendo
They came from the lower crypts!,Eles vieram das criptas inferiores!
All are dead save me and brother Aruun!,Todos estao mortos exceto eu e o irmao Aruun!
We have locked ourselves in the storage room,Nos trancamos na sala de armazenamento
How can this be?,Como pode ser isso?
How can such abominations walk?,Como tais abominacoes podem caminhar?
There is no light in the afterlife!,Nao ha luz na vida apos a morte!
Only black stars,Apenas estrelas negras
No water,Sem agua
Aruun did not wake today,Aruun nao acordou hoje
I dare not leave this room - I hear them outside,Nao ouso sair deste quarto - eu os escuto la fora
I too shall pass,Eu tambem irei partir
Black stars beckon,Estrelas negras chamam
A Ragged Note,Uma Nota Rasgada
A ragged letter that seems to contain direction of some sort,Uma carta rasgada que parece conter algum tipo de direcao
Enter the sewers from the harbor through the westernmost outlet,Entre nos esgotos pelo porto atraves da saida mais a oeste
Follow the chalk arrows on the wall and make your way east past the central cistern and then south,Siga as setas de giz na parede e va para o leste passando pela cisterna central e depois sul
From there you’ll find a stairs going down and into the Rat-Maze,De la voce encontrara uma escada descendo para o Labirinto de Ratos
"In the maze, go W, S, S, W, W and you’ll find yourself in the Underhalls","No labirinto, va para O, S, S, O, O e voce estara nos Saloes Subterraneos"
Mind your manners while you’re there and be sure to peruse the Black Market,Comporte-se enquanto estiver la e nao deixe de examinar o Mercado Negro
Surgeon's Journal,Diario do Cirurgiao
A journal that was kept by the ship surgeon of the Zephyr,Um diario que era mantido pelo cirurgiao do navio Zefiro
Written on the day of departure from the mainland,Escrito no dia da partida do continente
Left Adler's Helm today with a full complement of passengers,Parti de Elmo de Adler hoje com a capacidade maxima de passageiros
Mercenaries by the looks of it,Mercenarios pelo que parece
Paid well,Bem pago
Ship was dispatched by Guild before we could fully restock medical supplies,O navio foi enviado pela Guilda antes que pudessemos reabastecer os suprimentos medicos
Hopefully we won't need them,Com sorte nao precisaremos deles
"Then again, our passengers make me uneasy","Por outro lado, nossos passageiros me deixam inquieto"
Written 5 days ago,Escrito ha 5 dias
Brawl in mess - had to set nose,Briga no refeitorio - tive que enfaixar um nariz
Men seem on edge,Os homens parecem nervosos
Can't say I blame them,Nao posso dizer que os culpo
"Have been sleeping poorly and dreams are... unsound","Tenho dormido mal e os sonhos sao... perturbadores"
Written 4 days ago,Escrito ha 4 dias
Igan came to me today with a bite-wound that he sustained whilst working in the hold,Igan veio ate mim hoje com uma ferida de mordida que sofreu enquanto trabalhava no porao
"Didn't see creature and I would say it was a rat's bite if it weren't for the size and some aspect of the dentition that I find hard to explain properly","Nao viu a criatura e eu diria que foi mordida de rato se nao fosse pelo tamanho e aspecto da denticao que acho dificil explicar"
Written two days ago,Escrito ha dois dias
Was visited today by navigator Aslam,Fui visitado hoje pelo navegador Aslam
He asked for Whitefern - a sedative,Ele pediu por Folha-Branca - um sedativo
Claimed he had trouble sleeping,Alegou que tinha problemas para dormir
"Suspected he was not fully forthcoming and when pushed, he mumbled something about the stars being 'odd'","Suspeitei que ele nao estava sendo totalmente sincero e quando pressionado resmungou que as estrelas estavam estranhas"
Not sure what he meant and he left before I could push him further,Nao tenho certeza do que ele quis dizer e ele saiu antes que eu pudesse pressiona-lo mais
Written today,Escrito hoje
Men are about to break,Os homens estao prestes a explodir
We cannot maintain our course for Idra,Nao podemos manter nosso curso para Idra
Captain advised me today to make ready the surgery and to expect casualties,O capitao me avisou hoje para preparar a enfermaria e esperar por baixas
I suspect he intends to inform our passengers that he refuses to land on the island,Suspeito que ele pretenda informar aos passageiros que se recusa a desembarcar na ilha
If this is my last,Se esta for minha ultima nota
The entry trails off,A entrada desaparece
Caspar's Journal,Diario de Caspar
"A small, leather-bound journal filled with neat handwritten notes",Um diario pequeno encadernado em couro cheio de notas organizadas a mao
"Noted on the inside cover is the name “Caspar of Loral","Na capa interna esta escrito o nome Caspar de Loral"
About a year ago,Ha cerca de um ano
Arrived today and was met by the man who is to be my overseer,Cheguei hoje e fui recebido pelo homem que sera meu supervisor
Mathias,Mathias
He seemed nice enough albeit eccentric,Ele pareceu bem legal embora excentrico
Is this to be my fate as well?,Sera este o meu destino tambem?
"Woe to me that my wretched life and poor choices has landed me, Caspar of Loral, on this barren rock as the keeper of lights","Ai de mim que minha vida miseravel e mas escolhas trouxeram a mim, Caspar de Loral, a esta rocha esteril como guardiao do farol"
About six months ago,Ha cerca de seis meses
Saw lights on the shore near the cave entrance,Vi luzes na praia perto da entrada da caverna
Smugglers Mathias say,Contrabandistas segundo Mathias
"He insists we leave them alone and I am forced to abide, though my mind wanders often to that cave and what may lay within","Ele insiste para os deixarmos em paz e sou forcado a aceitar, embora minha mente viaje ate aquela caverna e o que pode estar la"
About a month ago,Ha cerca de um mes
I cannot take it any more!,Nao aguento mais isso!
The old bastard is driving me mad!,O velho bastardo esta me enlouquecendo!
He spies on me and gives me strange looks,Ele me espia e me dá olhares estranhos
And I’m sure he goes through my things!,E tenho certeza de que ele mexe nas minhas coisas!
I went for a walk to clear my head and I ended up by the entrance to the sea-cave,Sai para caminhar e clarear a cabeca e acabei na entrada da caverna maritima
Something is calling me there,Algo esta me chamando la
I hear it even in my sleep,Eu escuto isso ate dormindo
About a week before your arrival in Idra,Cerca de uma semana antes da sua chegada a Idra
Dreams driving me mad!,Sonhos me enlouquecendo!
Always it calls me to the caves,Sempre me chama para as cavernas
"To the deeper dark that lies beneath where no man has tread for eons","Para a escuridao mais profunda abaixo de onde nenhum homem pisa ha eras"
The looking stone and the ancient sleepers,A pedra de vigia e os antigos dormentes
The blade calls me,A lamina me chama
I can take no more,Nao aguento mais
Smuggler's Journal,Diario do Contrabandista
A small leather-bound book,Um livro pequeno encadernado em couro
I hate these jobs,Odeio esses trabalhos
Dropped off and told to guard the cargo until it can be collected,Deixado aqui e ordenado a guardar a carga ate que ela possa ser coletada
"And whilst the bastards up in the northern cave are living the good life I’m stuck in this hole","E enquanto os bastardos na caverna do norte estao vivendo a vida boa eu estou preso neste buraco"
I sometimes think the Imperial dungeons would be preferable,As vezes penso que as masmorras imperiais seriam preferiveis
We explored the cave today and found what appears to be an underwater tunnel in one of the dead-ends,Exploramos a caverna hoje e encontramos o que parece ser um tunel subaquatico em um dos becos sem saida
"Bryn insisted we try to swim it but I can think of no worse nightmare than being lost in the dark underwater","Bryn insistiu para tentarmos nadar por ele mas nao consigo pensar em pesadelo pior do que se perder no escuro debaixo d agua"
I told him as much and he got agitated,Eu disse isso a ele e ele ficou agitado
Yelled something about dreaming of an ancient relic,Gritou algo sobre sonhar com uma reliquia antiga
I have no idea what he’s on about,Nao tenho ideia do que ele esta falando
Golden dead!,Mortos dourados!
Bryn got attacked by a crab the size of a warhound today!,Bryn foi atacado por um caranguejo do tamanho de um cao de guerra hoje!
Nearly took his leg off!,Quase arrancou a perna dele!
Neither of us have seen anything like it before and we can only pray it was alone!,Nenhum de nos viu algo assim antes e so podemos rezar para que estivesse sozinho
Hope the ship won't be delayed much longer,Espero que o navio nao se atrase muito mais
Bryn is gone,Bryn se foi
I know in my heart he’s gone to the underwater tunnel,Sei em meu coracao que ele foi para o tunel subaquatico
Madness!,Loucura!
Shapes are moving in the dark now,Agora vultos se movem na escuridao
No way out and no one is coming for me!,Sem saida e ninguem vira me buscar!
Light is failing,A luz esta acabando
Mother,Mae
Marita's Cookbook,O Livro de Cozinha de Marita
A humble cookbook,Um livro de cozinha humilde
VEGETABLE SOUP,SOPA DE VEGETAIS
Potatoes - Carrots - Leeks,Batatas - Cenouras - Alho-poro
All of the above can be found growing in our field,Tudo isso pode ser encontrado crescendo em nosso campo
FARMER'S OMELETTE,OMELETE DO FAZENDEIRO
x Eggs - Potatoes - Onions,x Ovos - Batatas - Cebolas
Sea bird eggs will do just fine,Ovos de aves marinhas servem muito bem
Onions grow wild in abundance,Cebolas crescem selvagens em abundancia
Cabal Journal,Diario da Cabala
A journal that appears to have been written by one of the members of the Cabal expedition,Um diario que parece ter sido escrito por um dos membros da expedicao da Cabala
This one was found in the base-camp,Este foi encontrado no acampamento-base
ENTRY,ENTRADA
We’ve finally arrived at the Priory and found it in shockingly good condition,Finalmente chegamos ao Priorato e o encontramos em otimas condicoes surpreendentes
It’s as if time has stood still here,E como se o tempo tivesse parado aqui
"The initial survey does not reveal a clear means of accessing the lower level but I’m confident we’ll find a way given enough time","A analise inicial nao revela um meio claro de acessar o nivel inferior, mas confio que acharemos um caminho com tempo suficiente"
This place boggles the mind,Este lugar impressiona a mente
It appears to stand as it was left millennia ago,Parece estar exatamente como foi deixado ha milenios
How it could have slipped so well out of time and history is truly a mystery to me,Como ele pode ter escapado tao bem do tempo e da historia e realmente um misterio para mim
As is the fate of the Priory’s original occupants,Assim como o destino dos ocupantes originais do Priorato
Still no success in finding the door to the catacombs,Ainda sem sucesso em encontrar a porta para as catacumbas
I can only conclude it’s somehow concealed,So posso concluir que esta escondida de alguma forma
"We did, however, make an interesting discovery","Nos, entretanto, fizemos uma descoberta interessante"
The four statues on the “pilgrim’s road” can be rotated,As quatro estatuas no caminho do peregrino podem ser giradas
I’m certain this is somehow significant!,Tenho certeza de que isso e importante de alguma forma!
Some form of disease is spreading amongst the men,Algum tipo de doenca esta se espalhando entre os homens
Abdominal pain and swelling combined with fevers,Dor e inchaco abdominal combinados com febre
"Our apothecary is so far at a loss at curing it but suggests that proximity to the fungal growths that started sprouting is a potential vector of infection","Nosso boticario ate agora nao sabe como curar isso, mas sugere que a proximidade com os fungos que comecaram a brotar e um vetor potencial de infeccao"
I’ve ordered that masks be worn near the growths,Ordenei que mascaras sejam usadas perto dos fungos
A breakthrough,Um avanco
We found a document in the scriptorium with a verse on it!,Encontramos um documento no scriptorium com um verso nele!
It’s so clear now,Esta tao claro agora
The portal had been hidden in plain sight all along - all it took to open it was the correct configuration of the statues!,O portal esteve escondido bem diante de nos o tempo todo - bastou a configuracao correta das estatuas para abri-lo!
The dreaming halls await!,Os saloes dos sonhos aguardam!
A journal that appears to have been written by one of the members of the Cabal expedition that was dispatched to the Priory,Um diario que parece ter sido escrito por um dos membros da expedicao da Cabala enviado ao Priorato
This one was found on a cocooned corpse in the catacombs,Este foi encontrado em um cadaver em um casulo nas catacumbas
We entered the ‘Dreaming Hall’ today,Entramos no Salao dos Sonhos hoje
I’m awestruck by the mystery of it all,Estou maravilhado com o misterio de tudo isso
What secrets did the Sleeper whisper to the monks as they dreamed?,Que segredos o Dormente sussurrava para os monges enquanto eles sonhavam?
We must push on and soon enough we too shall stand before his timeless glory,Devemos seguir adiante e logo nos tambem estaremos diante de sua gloria eterna
"By the Maiden’s, we found it!","Pelas Donzelas, nos encontramos!"
The tomb in all its glory,A tumba em toda a sua gloria
We lost two members to traps trying to enter the room but it’s only a matter of time now,Perdemos dois membros para armadilhas tentando entrar na sala mas e so questao de tempo agora
This is a disaster!,Isso e um desastre!
I know there is something here - calling for us!,Sei que ha algo aqui - chamando por nos!
There must be some other way?,Deve haver algum outro jeito?
Several pages are ruined from the fungal infection,Varias paginas estao arruinadas pela infeccao fúngica
to move in and out of the caves and continue excavating the Eternity Gate,entrar e sair das cavernas e continuar escavando o Portal da Eternidade
My greatest concern at this point is the rate at which we are losing crew to suicides and infection,Minha maior preocupacao neste momento e a velocidade com que estamos perdendo a tripulacao para suicidios e infeccao
I saw them change before my very eyes!,Eu os vi mudar bem diante dos meus olhos!
"Oh, blessed Maidens I may have escaped for now but I cannot escape the images that now haunt me","Oh, Donzelas abencoadas, posso ter escapado por enquanto mas nao consigo escapar das imagens que agora me perseguem"
"What’s worse, the entire complex is somehow resealing itself and I’m trapped between the false tomb and the surface level","O que e pior, todo o complexo esta se selando novamente de alguma forma e estou preso entre a falsa tumba e o nivel da superficie"
I can only pray someone is left alive topside to open the gate,So posso rezar para que alguem tenha ficado vivo la em cima para abrir o portal
This one was found on a corpse in the catacombs,Este foi encontrado em um cadaver nas catacumbas
