Hit Bonus - Heavy Weap,Bonificacion de golpe - Arma pesada
Hit Bonus - Light Weap,Bonificacion de golpe - Arma ligera
Hit Bonus - Medium Weap,Bonificacion de golpe - Arma mediana
Hit Bonus - Polearms,Bonificacion de golpe - Armas de asta
Hit Bonus - Blades,Bonificacion de golpe - Cuchillas
Hit Bonus - Unarmed,Bonificacion de golpe - Desarmado
#MagicAttributes,#AtributosMagicos
Magical Attributes,Atributos magicos
MAGICAL ATTRIBUTES,ATRIBUTOS MAGICOS
Attributes involved in spell-casting,Atributos involucrados en el lanzamiento de hechizos
Attunement,Sintonizacao
Describes a character's magical energy and determines how many spells can be cast,Describe la energia magica de un personaje y determina cuantos hechizos se pueden lanzar
Attunement refills fully when the character rests in a camp,La sintonizacion se recarga por completo cuando el personaje descansa en un campamento
Note that different classes use different root abilities for Attunement,Tenga en cuenta que las diferentes clases utilizan diferentes habilidades raiz para la Sintonizacion
Magical Aptitude,Aptitud magica
MAGICAL APTITUDE,APTITUD MAGICA
The Magical Aptitude score is added to the numerical value of spells such as the amount of damage dealt or vitality healed,"La puntuacion de Aptitud Magfca se suma al valor numerico de los hechizos, como la cantidad de dano infligido o la vitalidad curada"
Max Cascade,Max Cascade
MAX CASCADE,CASCADA MAXIMA
The maximum numbers of spells a spellcaster can cast in a single turn due to Cascade effects,La cantidad maxima de hechizos que un lanzador de hechizos puede lanzar en un solo turno debido a los efectos de Cascada
Magic Schools,Escuelas de magia
The Schools of Magic,Las Escuelas de Magia
The value of this attribute indicates the maximum tier of spell from that school the character may cast,El valor de este atributo indica el nivel maximo de hechizo de esa escuela que el personaje puede lanzar
Aura Radius,Radio del aura
"If non-zero, this number is added to the radius of your spells with Aura-shaped area of effects","Si no es cero, este numero se agrega al radio de tus hechizos con un area de efectos en forma de aura"
Line Range,Rango de linea
"If non-zero, this number is added to the width and length of your spells with Line- and Cone-shaped areas of effects","Si no es cero, este numero se agrega al ancho y largo de tus hechizos con areas de efectos en forma de linea y cono"
Sphere Radius,Radio de la esfera
"If non-zero, this number is added to the radius of your spells with Sphere-shaped area of effects","Si no es cero, este numero se agrega al radio de tus hechizos con un area de efectos en forma de esfera"
#MagicSchools,#EscuelasDeMagia
Air Magic School,Escuela de Magia del Aire
The value of this attribute indicates the highest Spell Tier of Air magic spells you may cast,El valor de este atributo indica el nivel de hechizo mas alto de hechizos de magia de aire que puedes lanzar
Bardic Magic School,Escuela de Magia Bardica
The value of this attribute indicates the highest Spell Tier of Bardic magic spells you may cast,El valor de este atributo indica el nivel de hechizo mas alto de hechizos de magia bardica que puedes lanzar
Body Magic School,Escuela de Magia Corporal
The value of this attribute indicates the highest Spell Tier of Body magic spells you may cast,El valor de este atributo indica el nivel de hechizo mas alto de hechizos de magia corporal que puedes lanzar
Earth Magic School,Escuela de Magia de la Tierra
The value of this attribute indicates the highest Spell Tier of Earth magic spells you may cast,El valor de este atributo indica el nivel de hechizo mas alto de hechizos de magia de Tierra que puedes lanzar
Fire Magic School,Escuela de Magia del Fuego
The value of this attribute indicates the highest Spell Tier of Fire magic spells you may cast,El valor de este atributo indica el nivel de hechizo mas alto de hechizos de magia de fuego que puedes lanzar
Mind Magic School,Escuela de Magia Mental
The value of this attribute indicates the highest Spell Tier of Mind magic spells you may cast,El valor de este atributo indica el nivel de hechizo mas alto de hechizos de magia mental que puedes lanzar
Nature Magic School,Escuela de Magia de la Naturaleza
The value of this attribute indicates the highest Spell Tier of Nature magic spells you may cast,El valor de este atributo indica el nivel de hechizo mas alto de hechizos de magia de naturaleza que puedes lanzar
Spirit Magic School,Escuela de Magia Espiritual
The value of this attribute indicates the highest Spell Tier of Spirit magic spells you may cast,El valor de este atributo indica el nivel de hechizo mas alto de hechizos de magia espiritual que puedes lanzar
#PrimaryAttributes,#AtributosPrimarios
Agility,Agilidade
"A measure of hand-eye coordination, nimbleness and dexterity","Una medida de coordinacion mano-ojo, agilidad y destreza"
Describes how tough and resilient a character is,Describe lo duro y resistente que es un personaje
Intellect,Intelecto
"Mental acuity, recall and analytical skill","Agudeza mental, capacidad de memoria y capacidad analitica"
Presence,Presenca
A character's ability to read and react to the surrounding environment and people,La capacidad de un personaje para leer y reaccionar ante el entorno y las personas que lo rodean
Strength,Forca
A measure of a character's brawn and physical power,Una medida de la fuerza y el poder fisico de un personaje
#SecCombatAttributes,#AtributosDeCombateSeguro
Arrow Recovery,Recuperacion de flechas
The percentage chance that an arrow fired by the character in combat can be recovered and reused,El porcentaje de probabilidad de que una flecha disparada por el personaje en combate pueda recuperarse y reutilizarse
Attack Count,Recuento de ataques
The number of Attacks the character can potentially perform in a full round of combat,La cantidad de ataques que el personaje puede realizar potencialmente en una ronda completa de combate
"Typically a character cannot perform multiple Attacks if they also move, or perform move-equivalent actions the same turn","Normalmente, un personaje no puede realizar multiples ataques si tambien se mueve, o realizar acciones equivalentes a movimientos en el mismo turno"
Backstab Bonus,Bono de punalada por la espalda
"If a successful Backstab Attack is performed, this Attribute is multiplied by the Weapon’s Crit multiplier and added to the total Damage","Si se realiza un ataque de punalada por la espalda con exito, este atributo se multiplica por el multiplicador critico del arma y se agrega al dano total"
Carrying Bonus,Bono de porte
A bonus in pounds added to the character’s Carrying Capacity,Una bonificacion en libras anadida a la capacidad de carga del personaje
Charge Bonus,Bono de carga
"If a character is charging, this bonus is added on top of the base charge bonus","Si un personaje esta cargando, esta bonificacion se suma a la bonificacion de carga base"
The charge bonus is added to the following attack’s To Hit and Damage roll,La bonificacion de carga se anade a la tirada de golpe y dano del siguiente ataque
Defend Bonus,Bono de defensa
The bonus that is added to a character’s Dodge value when performing the Defend action,La bonificacion que se anade al valor de Esquivar de un personaje al realizar la accion de Defender
Flanking Bonus,Bono de flanqueo
The bonus that is added to a character’s To Hit roll when attacking a Flanked opponent,La bonificacion que se anade a la tirada para golpear de un personaje cuando ataca a un oponente flanqueado
Loot Bonus,Bonificacion de botin
This attribute provides a percentage bonus increase of the amount of gold you find by looting corpses after combat,Este atributo proporciona un aumento porcentual adicional de la cantidad de oro que encuentras al saquear cadaveres despues del combate
Movement,Movimiento
The number of tiles a character can move during a single combat turn and still attack,La cantidad de fichas que un personaje puede mover durante un solo turno de combate y aun asi atacar
Phalanx Bonus,Bonificacion de falange
"If wielding a shield, you get a bonus to Dodge for each adjacent ally up to your Phalanx value","Si usas un escudo, obtienes una bonificacion a Esquivar por cada aliado adyacente hasta tu valor de Falange"
This means that you do not get any such bonus if your bonus is,Esto significa que no recibiras ningun bono si tu bono es
Regeneration,Regeneracion
"If above 0, you regain a number of Vitality points at the beginning of each combat turn equal to your Regeneration score","Si es superior a 0, recuperas una cantidad de puntos de Vitalidad al comienzo de cada turno de combate igual a tu puntuacion de Regeneracion"
Retribution,Venganza
"If above 0, you deal damage equal to your retribution score to any opponents that score a melee attack hit against you","Si es mayor que 0, infliges dano igual a tu puntuacion de retribucion a cualquier oponente que te golpee con un ataque cuerpo a cuerpo"
Natural Soak,Remojo natural
Natural soak represents soak derived from a thick skin or unnaturally high resistance to physical damage,El remojo natural representa el remojo derivado de una piel gruesa o una resistencia anormalmente alta al dano fisico
XP Percentage Bonus,Bonificacion porcentual de XP
"If above 0, this attribute provides a percentage bonus to all XP gained for this character","Si es superior a 0, este atributo proporciona una bonificacion porcentual a toda la XP obtenida para este personaje"
#Secondary Attributes,#Atributos Secundarios
Vitality,Vitalidade
Vitality describes the amount of damage a character can take before becoming seriously wounded,La vitalidad describe la cantidad de dano que un personaje puede recibir antes de resultar gravemente herido
Vitality is fairly easily regained through the use of consumable items and spells,La vitalidad se recupera con bastante facilidad mediante el uso de articulos consumibles y hechizos
Wounds,Ferimentos
Wounds represent serious injury to the character,Las heridas representan lesiones graves al personaje
"Wounds are much harder to recover for characters, typically requiring bed rest",Las heridas son mucho mas dificiles de recuperar para los personajes y generalmente requieren reposo en cama
#Skills,#Habilidades
Athletics,Atletismo
"Athletics are used to jump, climb, swim or sprint","El atletismo se utiliza para saltar, escalar, nadar o correr"
Awareness,Percepcao
The ability to notice small details and hidden things,La capacidad de notar pequenos detalles y cosas ocultas
Crafting,Artesanato
Crafting is used when creating items at crafting stations,La elaboracion se utiliza al crear elementos en las estaciones de elaboracion
Diplomacy,Diplomacia
"Diplomacy is used to lie, bargain or sway others in negotiations","La diplomacia se utiliza para mentir, negociar o influir en otros en las negociaciones"
It influences prices at merchants,Influencia os precos nos mercadores
Healing,Cura
Healing is used in camp to increase the rate of wound recovery for wounded characters,A cura e usada no acampamento para aumentar a taxa de recuperacao de ferimentos para personagens feridos
It also influences the amount of vitality regained from healing potions and is used in dialogue tests when dealing with medical issues and such,Tambem influencia a quantidade de vitalidade recuperada de pocoes de cura e e usada em testes de dialogo ao lidar com questoes medicas e afins
Lore,Conhecimento
A general knowledge skill,Uma habilidade de conhecimento geral
Stealth,Furtividade
Stealth is used during adventuring,A furtividade e usada durante as aventuras
In particular it determines if NPCs notice the party as it moves around,Em particular determina se os NPCs notam o grupo enquanto ele se movimenta
Survival,Sobrevivencia
"Survival is used to forage for food, navigate difficult overland terrain and also determines a character's general knowledge of nature","A sobrevivencia e usada para buscar comida, navegar por terrenos dificeis e tambem determina o conhecimento geral da natureza de um personagem"
Thievery,Gatunagem
Used to pick locks and pockets as well as to steal from shops,"Usado para arrombar fechaduras e bater carteiras, bem como para roubar de lojas"
