original,Traducido
"When a new member joins your party, they Level Up to your current level","Quando um novo membro se junta ao seu grupo, ele Sobe de Nível para o seu nível atual"
The “Level Up” icon on your party-member’s portrait shows that a character is ready to level up!,O ícone “Subir de Nível” no retrato do membro do seu grupo mostra que o personagem está pronto para subir de nível!
Double-click the character portrait and select FEATS to begin leveling up,Clique duas vezes no retrato do personagem e selecione TALENTOS para começar a subir de nível
Press the X BUTTON and go to the FEATS tab to begin leveling up,Pressione o BOTÃO X e vá para a aba TALENTOS para começar a subir de nível
Stealth,Furtividade
Press the Hide button to go into Stealth mode,Pressione o botão Esconder para entrar no modo Furtivo
The action buttons also map to the numerical buttons,Os botões de ação também se mapeiam nos botões numéricos
You may also press LEFT JOYSTICK to enter stealth mode,Você também pode pressionar o DIRECIONAL ANALÓGICO ESQUERDO para entrar no modo furtivo
While in stealth mode the Stealth indicator becomes visible,Enquanto estiver no modo furtivo, o indicador de Furtividade fica visível
A yellow indicator means you're in danger of being spotted,Um indicador amarelo significa que você corre o risco de ser detectado
"While your indicator is yellow, it will count down to 0%","Enquanto o seu indicador estiver amarelo, ele fará uma contagem regressiva até 0%"
When it reaches 0% you are spotted and will become visible,Quando atingir 0%, você será detectado e ficará visível
Moving in lit areas and being close to other characters will make the counter go down very fast,Mover-se em áreas iluminadas e estar perto de outros personagens fará o contador diminuir muito rápido
Stick to shadows and avoid other characters,Fique nas sombras e evite outros personagens
Your ability to stay hidden is dictated by your stealth skill,Sua capacidade de permanecer escondido é ditada pela sua habilidade de furtividade
Increase this skill to stay hidden for longer,Aumente esta habilidade para permanecer escondido por mais tempo
Wearing armor makes it harder to stay hidden,Usar armadura torna mais difícil permanecer escondido
"If the indicator turns green, it means you are no longer in danger of being spotted","Se o indicador ficar verde, significa que você não corre mais risco de ser detectado"
"Spending time in ""green"" areas will refill your stealth meter","Passar um tempo em áreas ""verdes"" recarregará seu medidor de furtividade"
#Misc,#Diversos
Crafting,Fabricação
This is the Crafting screen,Esta é a tela de Fabricação
"To create new items, double-click ingredients in your inventory to place them in the “Workstation” and then press “Craft","Para criar novos itens, clique duas vezes nos ingredientes no seu inventário para colocá-los na “Bancada de Trabalho” e então pressione “Fabricar”"
"If the recipe is valid, new items will be created",Se a receita for válida, novos itens serão criados
"To create new items, place ingredients in the “Workstation” grid and then press “Craft","Para criar novos itens, coloque os ingredientes na grade da “Bancada de Trabalho” e então pressione “Fabricar”"
The recipe list in the left column represents known recipes,A lista de receitas na coluna da esquerda representa as receitas conhecidas
You learn new recipes by experimenting or by finding recipe books out in the world,Você aprende novas receitas experimentando ou encontrando livros de receitas pelo mundo
Recipes that can currently be crafted are shown in green,As receitas que podem ser fabricadas no momento são exibidas em verde
Selecting a green recipe will automatically add all the necessary ingredients to the “Workstation,Selecionar uma receita verde adicionará automaticamente todos os ingredientes necessários à “Bancada de Trabalho”
Crafting is dependent on the Crafting skill,A fabricação depende da habilidade de Fabricação
"Crafting a valid recipe will always succeed but depending on your skill and the recipe’s difficulty, there is a chance you may produce more than one item","Fabricar uma receita válida sempre terá sucesso, mas dependendo da sua habilidade e da dificuldade da receita, existe uma chance de você produzir mais de um item"
Resting,Descansando
This is the Camp screen,Esta é a tela de Acampamento
Use it to feed the party and select camp activities for the party members before resting,Use-a para alimentar o grupo e selecionar atividades de acampamento para os membros do grupo antes de descansar
"By default, the game always auto-saves when you make camp","Por padrão, o jogo sempre salva automaticamente quando você acampa"
"To fully recover from injuries, your party members must be well fed","Para se recuperar totalmente de lesões, os membros do seu grupo devem estar bem alimentados"
Normally 10 points of food is required per party member to recover 100%,Normalmente, são necessários 10 pontos de comida por membro do grupo para se recuperar 100%
If less than the required amount is added your party will only recover partially,Se menos do que a quantidade necessária for adicionada, seu grupo só se recuperará parcialmente
Add food from your inventory by double clicking it,Adicione comida do seu inventário clicando duas vezes nela
Note that prepared meals add a lot more food per item than raw ingredients,Note que refeições preparadas adicionam muito mais comida por item do que ingredientes crus
Seek out crafting stations to craft meals from raw ingredients,Procure bancadas de fabricação para preparar refeições a partir de ingredientes crus
Select food from your inventory for your party to eat,Selecione comida do seu inventário para o seu grupo comer
You also need to select Camp Activities for your party members,Você também precisa selecionar Atividades de Acampamento para os membros do seu grupo
These provide bonuses based on your character's skills,Estas fornecem bônus com base nas habilidades do seu personagem
Beds and Inns,Camas e Estalagens
Keep an eye out for beds or inns to rest in while adventuring,Fique atento a camas ou estalagens para descansar enquanto se aventura
Doing so is superior to sleeping in the wild,Fazer isso é superior a dormir ao relento
"While resting at an inn or in a bed, you have the option to manage your party!","Enquanto descansa em uma estalagem ou em uma cama, você tem a opção de gerenciar seu grupo!"
"This means you can choose what characters get to be part of your main party, and who should wait in camp",Isso significa que você pode escolher quais personagens farão parte do seu grupo principal e quem deve esperar no acampamento
Camp followers do not earn XP and never participate in combat,Os seguidores do acampamento não ganham XP e nunca participam de combates
Camp followers will for the most part not engage in the narrative,Os seguidores do acampamento, em sua maioria, não se envolverão na narrativa
"There are a few exceptions to this however, and there are some cases where even characters outside your main party may chime in during conversations","No entanto, há algumas exceções a isso, e há alguns casos em que até personagens fora do seu grupo principal podem intervir nas conversas"
Sailing,Navegação
"While sailing on the overland map, the “Make Camp” button changes appearance","Ao navegar no mapa-múndi, o botão ""Acampar"" muda de aparência"
Click it to explore the ship you’re currently on,Clique nele para explorar o navio em que você está no momento
Press it to explore the ship you’re currently on,Pressione-o para explorar o navio em que você está no momento
"While on the ship, it’s possible to rest and reorganize, cook, craft items and even do some limited bartering","Enquanto estiver no navio, é possível descansar e reorganizar, cozinhar, fabricar itens e até fazer alguns escambos limitados"
There may also be characters to talk to,Também pode haver personagens para conversar
"When you’re done interacting with the ship and crew, interact with the ship’s helm to go back to the overland map","Quando terminar de interagir com o navio e a tripulação, interaja com o timão do navio para voltar ao mapa-múndi"
