original,Traducido
"For each successful Attack, there is a chance the Hit is upgraded to a Critical Hit","Para cada Ataque bem-sucedido, existe uma chance de o Acerto ser aprimorado para um Acerto Crítico"
This is a percentage chance equal to the attacker’s Crit Chance Attribute,Esta é uma chance percentual igual ao Atributo de Chance de Crítico do atacante
"If a Critical Hit is confirmed, the Damage dealt is multiplied by the Weapon’s Crit. value","Se um Acerto Crítico for confirmado, o Dano causado é multiplicado pelo valor de Crítico da Arma"
"For instance a Weapon with a Crit. value of, multiplies the Damage dealt in a Critical Hit by","Por exemplo, uma Arma com um valor de Crítico de, multiplica o Dano causado em um Acerto Crítico por"
Defence Roll,Rolagem de Defesa
The Defence Roll is,A Rolagem de Defesa é
2d6 + Misc Bonuses + Dodge,2d6 + Bônus Diversos + Esquiva
Development Points,Pontos de Desenvolvimento
Development Points are gained when leveling up and used to buy ranks in Feats,Pontos de Desenvolvimento são ganhos ao subir de nível e usados para comprar graus em Talentos
This unlocks new Abilities for the Character making them more powerful,Isso desbloqueia novas Habilidades para o Personagem, tornando-o mais poderoso
Difficulty,Dificuldade
The Difficulty Class or DC of a test is the number a character must roll equal to or higher than to succeed,A Classe de Dificuldade ou CD de um teste é o número que um personagem deve rolar igual ou maior para ter sucesso
Disengage,Desengajar
"If a character who is within melee range of an active opponent tries to move away, they Disengage","Se um personagem que está ao alcance corpo a corpo de um oponente ativo tenta se afastar, ele se Desengaja"
Normally this means the Disengaging character immediately ends their turn,Normalmente isso significa que o personagem que está se Desengajando encerra imediatamente o seu turno
Enc,Carga
Encumbrance,Carga Total
Encumbrance is a measure of how much your armor and equipment reduces your ability to act freely,A carga é uma medida de quanto sua armadura e equipamentos reduzem sua capacidade de agir livremente
Different item slots affect different skills,Compartimentos de itens diferentes afetam habilidades diferentes
"Armor affects Dodge, Stealth and Athletics","A armadura afeta Esquiva, Furtividade e Atletismo"
Headwear and helmets affect Awareness,Acessórios de cabeça e elmos afetam a Percepção
Gloves affect Thievery,Luvas afetam Ladinagem
Footwear affects Stealth,Calçados afetam a Furtividade
"Examine the different Attributes under the ‘Attributes’ tab to see if, and how much they are being affected by items worn","Examine os diferentes Atributos na aba 'Atributos' para ver se, e quanto, eles estão sendo afetados pelos itens equipados"
Flanking,Flanqueamento
A character can be Flanked if opponents occupy the tile above and below it or to the left and right of it,Um personagem pode ser Flanqueado se os oponentes ocuparem o bloco acima e abaixo dele ou à esquerda e à direita dele
Attacking a Flanked target allows the Attacker to add their Flanking Bonus to the Attack Roll,Atacar um alvo Flanqueado permite ao Atacante adicionar seu Bônus de Flanqueamento à Rolagem de Ataque
Rogues may Backstab Flanked Characters,Ladinos podem Esfaquear pelas Costas Personagens Flanqueados
Initiative Order,Ordem de Iniciativa
Every Combat Encounter begins with all combatants making an Initiative Roll,Cada Encontro de Combate começa com todos os combatentes fazendo uma Rolagem de Iniciativa
This is calculated by adding 2d6 to the character’s Initiative Attribute,Isso é calculado adicionando 2d6 ao Atributo de Iniciativa do personagem
Characters then act in descending order of initiative,Os personagens então agem em ordem decrescente de iniciativa
Characters who are not alert as combat begins gain a severe penalty to their Initiative Roll,Personagens que não estiverem alertas quando o combate começar recebem uma penalidade severa em sua Rolagem de Iniciativa
Main Attribute,Atributo Principal
The Main Attribute is the Attribute that is the most important for this Class,O Atributo Principal é o Atributo mais importante para esta Classe
Saving Throw,Teste de Salvamento
A Saving Throw is a roll using an Attribute against some Difficulty number to avoid receiving or canceling some ongoing negative effect,Um Teste de Salvamento é uma rolagem usando um Atributo contra um número de Dificuldade para evitar receber ou cancelar algum efeito negativo contínuo
Silenced,Silenciado
"A character with this status tag cannot use, or be affected by, Abilities or Spells that require them to be able to speak","Um personagem com esta etiqueta de status não pode usar, nem ser afetado por, Habilidades ou Feitiços que exijam que ele seja capaz de falar"
Soak,"R.Dano"
Soak is a measure of damage absorption,A redução de dano é uma medida de amortecimento de dano
It is usually conferred by Armor,Geralmente é concedida por Armadura
Some creatures also have natural Soak due to thick hides,Algumas criaturas também possuem redução de dano natural devido a peles grossas
"For every physical attack scored on the character, the damage is reduced by a random amount ranging from 0 to the character’s combined Soak","Para cada ataque físico desferido contra o personagem, o dano é reduzido por uma quantidade aleatória que varia de 0 até a R.Dano combinada do personagem"
See also,Veja também
Spell Tier,Círculo de Feitiço
"By studying different Schools of Spellcasting, a character gains Spell Tiers in that School","Ao estudar diferentes Escolas de Magia, um personagem ganha Círculos de Feitiço naquela Escola"
Spell Tiers qualify a character to learn spells and different spells have different Tier requirements,Os Círculos de Feitiço qualificam um personagem para aprender feitiços, e feitiços diferentes possuem requisitos de Círculo diferentes
Status Tags,Etiquetas de Status
Status Tags are conferred by Conditions and used by the system to dictate player behavior,As Etiquetas de Status são concedidas por Condições e usadas pelo sistema para ditar o comportamento do jogador
Afraid,Aterrorizado
Characters who are afraid are more susceptible to panicking,Personagens que estão com medo ficam mais suscetíveis a entrar em pânico
Asleep,Adormecido
A character with this status tag is Vulnerable and does not act during their combat turn,Um personagem com esta etiqueta de status fica Vulnerável e não age durante seu turno de combate
Sleeping characters are much easier to sneak past and surprise,Personagens adormecidos são muito mais fáceis de passar despercebidos e surpreender
Bleeding,Sangramento
A character with this status tag will take a random amount of damage at the start of each turn ranging from 1 to 10% of their Maximum Vitality until the Bleeding is stopped,Um personagem com esta etiqueta de status sofrerá uma quantidade aleatória de dano no início de cada turno, variando de 1 a 10% de sua Vitalidade Máxima, até que o Sangramento seja estancado
Blindness,Cegueira
"A character with this status tag cannot use, or be affected by, Abilities or Spells that require them to see","Um personagem com esta etiqueta de status não pode usar, nem ser afetado por, Habilidades ou Feitiços que exijam que ele enxergue"
Charmed,Enfeitiçado
A character with this status tag does not act during their turn,Um personagem com esta etiqueta de status não age durante seu turno
Confusion,Confusão
Deafness,Surdez
"A character with this status tag cannot use, or be affected by, Abilities or Spells that require them to hear","Um personagem com esta etiqueta de status não pode usar, nem ser afetado por, Habilidades ou Feitiços que exijam que ele ouça"
Defenceless,Indefeso
A Status Tag indicating that the character cannot defend themselves,Uma Etiqueta de Status que indica que o personagem não pode se defender
A Defenseless character is Vulnerable,Um personagem Indefeso fica Vulnerável
Defending,Defendendo
A Status Tag indicating that the character spends their entire combat turn fighting defensively,Uma Etiqueta de Status que indica que o personagem passa todo o seu turno de combate lutando defensivamente
They take no other actions and add their Defend Bonus attribute to their Dodge Attribute when making Defence Rolls,Eles não realizam nenhuma outra ação e adicionam seu atributo de Bônus de Defesa ao seu Atributo de Esquiva ao fazer Rolagens de Defesa
Disease,Doença
A Status Tag indicating that the character is affected by one or more diseases,Uma Etiqueta de Status que indica que o personagem está afetado por uma ou mais doenças
FlatFooted,Pegue de Surpresa
A Status Tag indicating that the character is off their guard,Uma Etiqueta de Status que indica que o personagem está desprevenido
As such they are Vulnerable,Como tal ele fica Vulnerável
Immobile,Imóvel
A Status Tag indicating that the character cannot move around,Uma Etiqueta de Status que indica que o personagem não pode se mover
They may still be able to take other actions and fight but are nonetheless Vulnerable,Eles ainda podem ser capazes de realizar outras ações e lutar, mas continuam Vulneráveis
Insanity,Insanidade
A character with this status tag does not act in their combat turn,Um personagem com esta etiqueta de status não age em seu turno de combate
Intoxicated,Intoxicado
A Status Tag indicating that the character has become #Intoxicated by drugs or alcohol,Uma Etiqueta de Status que indica que o personagem ficou #Intoxicado por drogas ou álcool
Invisible,Invisível
A character with this status tag will not be spotted until they attack an opponent or use a spell or ability,Um personagem com esta etiqueta de status não será detectado até que ataque um oponente ou use um feitiço ou habilidade
Marked,Marcado
This status tag typically interacts with other abilities,Esta etiqueta de status normalmente interage com outras habilidades
Occupied,Ocupado
A Status Tag indicating that the character is not able to act during their combat turn,Uma Etiqueta de Status que indica que o personagem não é capaz de agir durante seu turno de combate
Paralysis,Paralisia
A Status Tag indicating that the character is unable to move or act in any way,Uma Etiqueta de Status que indica que o personagem está incapaz de se mover ou agir de qualquer forma
"While in this state, they are Vulnerable","Enquanto estiver neste estado, ele fica Vulnerável"
Poison,Veneno
A character with this status tag will take a random amount of damage at the start of each turn ranging from 1 to 10% of their Maximum Vitality until the Poisoning is cured,Um personagem com esta etiqueta de status sofrerá uma quantidade aleatória de dano no início de cada turno, variando de 1 a 10% de sua Vitalidade Máxima, até que o Envenenamento seja curado
Stun,Atordoado
A character with this status tag cannot act during their combat turn,Um personagem com esta etiqueta de status não pode agir durante seu turno de combate
They are also vulnerable for the duration,Eles também ficam vulneráveis durante o período
To-Hit Roll,Role para Acertar
The To-Hit roll is made by comparing the Attacker’s Attack Roll to the Defender’s Defence Roll,A rolagem do acerto é feita comparando a Rolagem de Ataque do Atacante com a Rolagem de Defesa do Defensor
If the Attacker rolls equal to or higher than the Defence Roll the attack is a hit,Se o Atacante rolar um valor igual ou maior do que a Rolagem de Defesa, o ataque acerta
Tough,Resistência
Short for Toughness,Abreviação de Resistência
Vitality per Level,Vitalidade por Nível
"Indicates how much of the game’s Hitpoint resource, Vitality, is gained every time the character levels up","Indica quanto de Pontos de Vida voce tem, Vitalidade, é ganho cada vez que o personagem sobe de nível"
Vulnerable,Vulnerável
A Vulnerable character cannot defend themselves,Um personagem Vulnerável não pode se defender
This makes them much easier to hit and it also means they can be Backstabbed,Isso faz com que sejam muito mais fáceis de acertar e também significa que podem ser Esfaqueados pelas Costas
Will,Vontade
See Willpower,Veja Força de Vontade
