original,traducido
The sea-caves lie abandoned and closed off,As cavernas marítimas estão abandonadas e fechadas
Scribbled in a shaky hand on ancient parchment is the following verse,Rascunhado por uma mão trêmula em um pergaminho antigo está o seguinte verso:
Walk the path in humble fate Contemplate the hidden gate,Siga o caminho em humilde destino Contemple o portão escondido
Let the watchers show the way Like time flows ‘round the wheel of day,Deixe que os observadores mostrem o caminho Como o tempo flui ao redor da roda do dia
To heed the silent sleepers call And enter into the Dreaming Hall,Para atender ao chamado dos dormentes silenciosos E entrar no Salão do Sonhar
Ink and Paper,Tinta e Papel
Ink and paper that appears to have been abandoned mid-use,Tinta e papel que parecem ter sido abandonados no meio do uso
It seems someone was copying the mosaic on the floor,Parece que alguém estava copiando o mosaico no chão
Grotesque Relief,Relevo Grotesco
The sarcophagus has the following description,O sarcófago tem a seguinte descrição
Carroleth the Manyfaced - First Grandmaster of the Order of the Crystal Eye,Carroleth o de Muitas Faces - Primeiro Grão-Mestre da Ordem do Olho de Cristal
Rothrax the Gray - Second Grandmaster of the Order of the Crystal Eye,Rothrax o Cinzento - Segundo Grão-Mestre da Ordem do Olho de Cristal
Kalamar the Wise - Third Grandmaster of the Order of the Crystal Eye,Kalamar o Sábio - Terceiro Grão-Mestre da Ordem do Olho de Cristal
Secret Passage,Passagem Secreta
The relief of this altarpiece seems to shift and squirm in the dancing light,O relevo deste retábulo parece se mover e se contorcer na luz dançante
"What’s more, there appears to be a hidden passage behind it","Além disso, parece haver uma passagem oculta atrás dele"
No way of opening it can be seen nearby,Nenhuma forma de abri-lo pode ser vista por perto
Pile of Ash,Pilha de Cinzas
This cave opens up into the sheer cliff wall beneath the tower,Esta caverna se abre na parede escarpada do penhasco abaixo da torre
Piled on the ledge is a great heap of ash that the wind occasionally carries away in great wisps,Empilhada na saliência está uma grande quantidade de cinzas que o vento ocasionalmente leva em grandes tufos
Carefully you prod the pile only to find a small handful of scorched human bones and teeth,Cuidadosamente você mexe na pilha apenas para encontrar um pequeno punhado de ossos e dentes humanos queimados
"Looking around, you see a great in the ceiling above from which the ash appears to have been dumped","Olhando ao redor, você vê uma grande abertura no teto acima, de onde as cinzas parecem ter sido despejadas"
"A large square slab with small holes carved in it appears to be placed over some sort of shaft, sealing it shut","Uma grande laje quadrada com pequenos furos esculpidos parece estar colocada sobre algum tipo de poço, selando-o"
You attempt to look through one of the holes but are knocked back by an unbearable stench emitting from below,Você tenta olhar por um dos furos, mas é repelido por um fedor insuportável que emana lá de baixo
But wait?,Mas espere?
Was there something else?,Havia algo mais?
Movement?,Movimento?
The slab seems too heavy to lift and just as well,A laje parece pesada demais para ser levantada e ainda bem
You have an overwhelming feeling that what is trapped in the shaft below was not meant for mortal eyes to see and is best left in the dark,Você tem uma sensação esmagadora de que o que está preso no poço abaixo não foi feito para olhos mortais verem e é melhor ser deixado no escuro
A Desk,Uma Escrivaninha
A desk with a maritime navigation map,Uma escrivaninha com um mapa de navegação marítima
The map is labled 'The Outer Isles' and a course is drawn towards an island named 'Idra',O mapa esta etiquetado como 'As Ilhas Exteriores' e uma rota esta tracada em direcao a uma ilha chamada 'Idra'
A Grisly Scene,Uma Cena Macabra
You recognize the corpse of one of the crew-mates,Voce reconhece o cadaver de um dos companheiros de tripulacao
A young man of barely 16 years called Sullum,Um jovem de apenas 16 anos chamado Sullum
The youth has been mauled to death by what you assume are the grotesquely altered rats you encounterd just minutes ago,O jovem foi mutilado ate a morte pelo que voce presume serem as ratazanas grotescamente alteradas que encontrou ha poucos minutos
The corpse is still warm,O cadaver ainda esta quente
#Interactables,#Interagiveis
A Cat,Um Gato
A cat watches you intently,Um gato observa voce atentamente
Chain,Corrente
Beehive,Colmeia
Benches,Bancos
Drinks,Bebidas
Food,Comida
A King in Yellow,Um Rei de Amarelo
Stage,Palco
Stairways,Escadarias
Mine Entrance,Entrada da Mina
Grindstone,Pedra de Amolar
A grindstone used for sharpening weapons,Uma pedra de amolar usada para afiar armas
Entrance to Tunnels,Entrada para os Tunnels
The Fishermen's Gate,O Portao dos Pescadores
A Prisoner,Um Prisioneiro
Dead Horse,Cavalo Morto
Scraps of Meat,Pedacos de Carne
Jakub and Ella,Jakub e Ella
The Ganglion,O Ganglio
A Well,Um Poco
Dessicated Corpse,Cadaver Dessecado
Ladder,Escada de Mao
Telescope,Telescopio
Cato's Study,O Estudio de Cato
Prisoner,Prisioneiro
A Map,Um Mapa
Faulty Support,Suporte Defeituoso
Weakened Wall,Parede Enfraquecida
Mole Burrow,Toca de Toupeira
A Monolith,Um Monolito
Portcullis,Porta de Grade
Ancient Monolith,Monolito Antigo
Golden Tomb,Tumba Dourada
Gong,Gongue
A Statue,Uma Estatua
Rope,Corda
A Painting,Uma Pintura
Helm,Timao
Shrine of Agility,Santuario da Agilidade
Shrine of Fortitude,Santuario da Fortitude
Shrine of Intellect,Santuario do Intelecto
Shrine of Presence,Santuario da Presenca
Shrine of Strength,Santuario da Forca
Driina,Driina
Pool,Piscina
A Stange Statue,Uma Estatua Estranha
Console,Console
Strange Basins,Bacias Estranhas
Vomit Cap cluster,Agrupamento de Cogumelos do Vomito
Waterfall,Cascata
Winch,Guindaste
Drainage,Drenagem
Elevator,Elevador
A Strange Machine,Uma Maquina Estranha
Protoplasmic Catalyzer,Catalisador Protoplasmatico
Book,Livro
Reflecting Pool,Piscina de Reflexao
#LightSources,#FontesDeLuz
Bees,Abelhas
Brazier,Braseiro
Camp Fire,Fogueira
Candles,Velas
Candle,Vela
Flies,Moscas
Fire,Fogo
Fireflies,Vagalumes
Glow Globe,Globo Luminoso
Model,Modelo
Lightcaster,Conjurador de Luz
Stake,Estaca
Torch,Tocha
A torch hangs on the wall,Uma tocha esta pendurada na parede
Light,Luz
#Pickups,#ItensColetaveis
Carrots,Cenouras
Cheese Wheel,Peca de Queijo
Fish,Peixe
Gullyfern,Samambaia-da-Fenda
Legionnaire’s Rest,Descanso do Legionario
Sorrow-Eater,Devorador da Tristeza
Starspawn,Cria das Estrelas
Sunmouth,Boca do Sol
Apples,Macas
Pears,Peras
Eggs,Ovos
Cured Hams,Presuntos Curados
Lantern,Lanterna
Leeks,Alhos-Poros
Patch of Cavechild,Agrupamento de Filhos-da-Caverna
Patch of Glowmen,Agrupamento de Homens-Luminescentes
Fellbell,Sino-Sombrio
Laughtercap,Cogumelo do Riso
Morel,Morel
Punny Bun,Paozinho Trocadilho
Wyrdloaf,Broa do Wyrd
Bird's Nest,Ninho de Passaro
Onions,Cebolas
Pick-Axe,Picareta
Potatos,Batatas
Ripe Pumpkin,Abobora Madura
Recipe,Receita
Rotten Log,Tronco Podre
A Badge,Um Emblema
Shovel,Pala
Vessels,Frascos
Lotus Pool,Piscina de Lotos
#TestProps,#Objetos de Teste
Broken Bridge,Ponte Quebrada
The bridge ahead is broken,A ponte a frente esta quebrada
Perhaps you can jump the gap?,Talvez voce possa saltar a fenda?
Climbing Holds,Apoios de Escalada
You can climb down this wall,Voce pode descer por esta parede
You can climb the wall ahead,Voce pode escalar a parede a frente
"Using the rope, you can descend the wall","Usando a corda, voce pode descer a parede"
Stack of Boxes,Pilha de Caixas
Using the stack of boxes you can reach the rope and try to climb the wall,Usando a pilha de caixas voce pode alcancar a corda e tentar escalar a parede
#Triggers,#Gatilhos
{notHasJournalEntry|JOU_CrabCaveEntrance},{notHasJournalEntry|JOU_CrabCaveEntrance}
A Survivor,Um Sobrevivente
#Warps,#Transicoes
Entrance,Entrada
Stairs,Escadas
A set of stairs leading to the deck above,Um lance de escadas que leva ao conves superior
Stairs Up,Subir Escadas
Cave Entrance,Entrada da Caverna
Exit,Saida
A set of stairs leading to the deck below,Um lance de escadas que leva ao conves inferior
Stairs Down,Descer Escadas
Trapdoor,Alcapao
Castle Entrance,Entrada do Castelo
Castle Exit,Saida do Castelo
Catacomb Entrance,Entrada das Catacumbas
Exit to Temple,Saida para o Templo
Grate,Grade
Secret Door,Porta Secreta
Firgol,Firgol
Adler's Helm,O Elmo de Adler
Horryn,Horryn
A Hidden Glen,Um Vale Oculto
Abandoned Farm,Fazenda Abandonada
A Refugee Camp,Um Acampamento de Refugiados
A Forest Glade,Uma Clareira na Floresta
The Wreck of the Zephyr,O Naufragio do Zefiro
A Lighthouse,Um Farol
The Black Priory,O Priorado Negro
Sea Caves,Cavernas Maritimas
A Tower,Uma Torre
Rope and Bucket,Corda e Balde
Ladders,Escadas
#WorkBenches,#BancadasDeTrabalho
Alchemist's Tools,Ferramentas de Alquimista
A cauldron for cooking,Um caldeirao para cozinhar
Pot,Panela
An pot that can be used for cooking,Uma panela que pode ser usada para cozinhar
Oven,Forno
An oven that can be used for cooking,Um forno que pode ser usado para cozinhar
